25.2,2025-11-26,25.2.8,Eric Engestrom,
25.3,2025-11-26,25.3.1,Dylan Baker
,2025-12-10,25.3.2,Dylan Baker
,2025-12-24,25.3.3,Dylan Baker,
,2026-01-07,25.3.4,Dylan Baker,
,2026-01-21,25.3.5,Dylan Baker,
,2026-02-04,25.3.6,Dylan Baker,
,2026-02-18,25.3.7,Dylan Baker,This is the last planned release of the 25.3.x series.
26.0,2026-01-14,26.0.0-rc1,Eric Engestrom,26.0 branchpoint
,2026-01-21,26.0.0-rc2,Eric Engestrom,
,2026-01-28,26.0.0-rc3,Eric Engestrom,
,2026-02-04,26.0.0-rc4,Eric Engestrom,or 26.0.0 final
