# src/gallium/auxiliary/util/u_surface.c:285: util_resource_copy_region: Assertion `dst_box.x + dst_box.width <= (int)u_minify(dst->width0, dst_level)' failed.
test_copy_texture_bc_rgba,Crash

# src/gallium/frontends/lavapipe/lvp_private.h:773: lvp_image_aspects_to_plane: Assertion `!(aspectMask & ~image->vk.aspects)' failed.
test_get_resource_tiling,Crash

# The tests assumes a dubgroup size >= 16
test_shader_waveop_maximal_convergence,Fail

test_sampler_feedback_implicit_lod_aniso,Fail

test_get_resource_tiling,Fail
test_planar_video_formats,Fail
test_rayquery,Fail
test_raytracing,Fail
test_raytracing_mismatch_global_rs_link,Fail
test_sample_instructions,Fail
test_sampler_rounding,Fail
test_update_tile_mappings,Fail
test_view_min_lod,Fail

test_rwtex1d_array_reinterpretation_dxil,Fail
test_rwtex1d_array_reinterpretation_sm51,Fail
test_rwtex2d_array_reinterpretation_dxil,Fail
test_rwtex2d_array_reinterpretation_sm51,Fail
test_tex1d_array_reinterpretation_dxil,Fail
test_tex1d_array_reinterpretation_sm51,Fail
test_tex2d_array_reinterpretation_dxil,Fail
test_tex2d_array_reinterpretation_sm51,Fail
