# Copyright 2024 Collabora Ltd.
# SPDX-License-Identifier: MIT

# Columns:
#   name: PIPE_FORMAT enum
#   czt: Color/Z target format if renderable or NONE
#   tcs: TIC component sizes
#   type: Data type:
#       S: SNORM
#       N: UNORM
#       I: SINT
#       U: UINT
#       F: FLOAT
#   v2type: Data type:
#       S: SNORM
#       N: UNORM
#       I: SINT
#       U: UINT
#       F: FLOAT
#       ZS: depth/stencil
#       SZ: stencil/depth
#       ZFS: depth float/stencil
#   src: Swizzle of the form RGBAX01
#   caps: Format capabilities:
#       C: Color target
#       T: Texture
#       Z: Depth/stencil target
#       B: Bufer
#       A: Alpha blend
#       S: Storage
#       D: Scanout
#   hw: First hardware generation on which the format

# name                    czt                     tcs                 type   v2type   src    support     hw

R1_UNORM                , NONE                  , R1                , N    , N      , R001 , T

A4B4G4R4_UNORM          , NONE                  , A4B4G4R4          , NNNN , N      , ABGR , T
A4R4G4B4_UNORM          , NONE                  , A4B4G4R4          , NNNN , N      , GBAR , T
B4G4R4A4_UNORM          , NONE                  , A4B4G4R4          , NNNN , N      , BGRA , T
B4G4R4X4_UNORM          , NONE                  , A4B4G4R4          , NNNN , N      , BGR1 , T
R4G4B4A4_UNORM          , NONE                  , A4B4G4R4          , NNNN , N      , RGBA , T
R4G4B4X4_UNORM          , NONE                  , A4B4G4R4          , NNNN , N      , RGB1 , T

B5G6R5_UNORM            , R5G6B5                , B5G6R5            , NNN  , N      , BGR1 , CTAD
R5G6B5_UNORM            , NONE                  , B5G6R5            , NNN  , N      , RGB1 , T
R5G5B5A1_UNORM          , NONE                  , A1B5G5R5          , NNNN , N      , RGBA , T
B5G5R5A1_UNORM          , A1R5G5B5              , A1B5G5R5          , NNNN , N      , BGRA , CTAD
B5G5R5X1_UNORM          , X1R5G5B5              , A1B5G5R5          , NNNN , N      , BGR1 , CTAD

R8_UNORM                , R8                    , R8                , N    , N      , R001 , CTBSA
R8_SNORM                , RN8                   , R8                , S    , S      , R001 , CTBSA
R8_SINT                 , RS8                   , R8                , I    , I      , R001 , CTBS
R8_UINT                 , RU8                   , R8                , U    , U      , R001 , CTBS
R8_SRGB                 , NONE                  , R8                , N    , N      , R001 , T

R8G8_UNORM              , G8R8                  , G8R8              , NN   , N      , RG01 , CTBSA
R8G8_SNORM              , GN8RN8                , G8R8              , SS   , S      , RG01 , CTBSA
R8G8_SINT               , GS8RS8                , G8R8              , II   , I      , RG01 , CTBS
R8G8_UINT               , GU8RU8                , G8R8              , UU   , U      , RG01 , CTBS
# On Fermi+, the green component doesn't get decoding?
# R8G8_SRGB             , NONE                  , G8R8              , NN   , N      , RG01 , T

# BGRA display formats
B8G8R8A8_UNORM          , A8R8G8B8              , A8B8G8R8          , NNNN , N      , BGRA , CTBASD
B8G8R8X8_UNORM          , X8R8G8B8              , A8B8G8R8          , NNNN , N      , BGR1 , CTAD
B8G8R8A8_SRGB           , A8RL8GL8BL8           , A8B8G8R8          , NNNN , N      , BGRA , CTAD
B8G8R8X8_SRGB           , X8RL8GL8BL8           , A8B8G8R8          , NNNN , N      , BGR1 , CTAD
R8G8B8A8_UNORM          , A8B8G8R8              , A8B8G8R8          , NNNN , N      , RGBA , CTBSA
R8G8B8X8_UNORM          , X8B8G8R8              , A8B8G8R8          , NNNN , N      , RGB1 , CTA
R8G8B8A8_SRGB           , A8BL8GL8RL8           , A8B8G8R8          , NNNN , N      , RGBA , CTA
R8G8B8X8_SRGB           , X8BL8GL8RL8           , A8B8G8R8          , NNNN , N      , RGB1 , CTA

R8G8B8A8_SNORM          , AN8BN8GN8RN8          , A8B8G8R8          , SSSS , S      , RGBA , CTBSA
R8G8B8A8_SINT           , AS8BS8GS8RS8          , A8B8G8R8          , IIII , I      , RGBA , CTBS
R8G8B8A8_UINT           , AU8BU8GU8RU8          , A8B8G8R8          , UUUU , U      , RGBA , CTBS
R8G8B8X8_SNORM          , AN8BN8GN8RN8          , A8B8G8R8          , SSSS , S      , RGB1 , T
R8G8B8X8_SINT           , AS8BS8GS8RS8          , A8B8G8R8          , IIII , I      , RGB1 , CT
R8G8B8X8_UINT           , AU8BU8GU8RU8          , A8B8G8R8          , UUUU , U      , RGB1 , CT

R9G9B9E5_FLOAT          , NONE                  , E5B9G9R9_SHAREDEXP, FFFF , F      , RGB1 , T

R10G10B10A2_UNORM       , A2B10G10R10           , A2B10G10R10       , NNNN , N      , RGBA , TCBASD
R10G10B10X2_UNORM       , A2B10G10R10           , A2B10G10R10       , NNN  , N      , RGB1 , T
B10G10R10A2_UNORM       , A2R10G10B10           , A2B10G10R10       , NNNN , N      , BGRA , CTA
B10G10R10X2_UNORM       , A2R10G10B10           , A2B10G10R10       , NNN  , N      , BGR1 , T
R10G10B10A2_UINT        , AU2BU10GU10RU10       , A2B10G10R10       , UUUU , U      , RGBA , CTBS
B10G10R10A2_UINT        , NONE                  , A2B10G10R10       , UUUU , U      , BGRA , TB

# These formats are disabled because the image/texture hardware doesn't clamp
# the 2-bit SNORM alpha to [-1, 1] so you can end up with a = -2 which is out
# of spec for both GL and Vulkan.
# R10G10B10A2_SNORM     , NONE                  , A2B10G10R10       , SSSS , S      , RGBA , T
# B10G10R10A2_SNORM     , NONE                  , A2B10G10R10       , SSSS , S      , BGRA , T

R11G11B10_FLOAT         , BF10GF11RF11          , BF10GF11RF11      , FFF  , F      , RGB1 , CTBSA

R16_FLOAT               , RF16                  , R16               , F    , F      , R001 , CTBSA
R16_UNORM               , R16                   , R16               , N    , N      , R001 , CTBSA
